no,code,name,industry_code,industry,shares,capital_stock,par_value
2265,91440,Telefield,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10237989,5118994500,500
1400,91580,SANGSINEDP,32802,Manufacture of Primary Cells and Batteries and Accumulators,13628219,6929109500,500
1021,91590,Nam Hwa Const Co. Ltd.,64101,Building Construction,11740000,5870000000,500
2321,91700,PARTRON,32602,Manufacture of Electronic Components,58918214,29459107000,500
681,91810,Twayair,85101,Passenger Air Transport,200771551,100385775500,500
1007,91970,Nano Chem Tech,32202,Manufacture of Plastic Products,37417493,18708746500,500
1467,91990,Celltrion Healthcare,74607,Other Specialized Wholesale,164464724,164464724000,1000
1573,92040,Amicogen,31007,Manufacture of Other Food Products,19754708,9877354000,500
1164,92070,DNF,32004,Manufacture of Other Chemical Products,11571858,5785929000,500
2004,92130,e-Credible,106309,Other Information Service Activities,12043600,6146800000,500
1416,92190,SEOUL VIOSYS,32601,Manufacture of Semiconductor,38223653,19111826500,500
287,92200,DIC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),38888569,19444284500,500
61,92220,KEC,32601,Manufacture of Semiconductor,200763141,100381570500,500
69,92230,KPX HOLDINGS,32001,Manufacture of Basic Chemicals,4224646,21123230000,5000
2482,92300,HYUNWOO,32602,Manufacture of Electronic Components,18672816,9336408000,500
180,92440,KISHIN,32902,Manufacture of Special-Purpose Machinery,29200000,14600000000,500
2447,92460,HANLA IMS,33101,Building of Ships and Boats,17109680,8808733500,500
2536,92590,Luxpia,32601,Manufacture of Semiconductor,7291098,3645549000,500
1648,92600,NC&amp;,32601,Manufacture of Semiconductor,25083517,12541758500,500
1031,92730,Neopharm,32004,Manufacture of Other Chemical Products,8207361,4103680500,500
267,92780,DONGYANG PISTON,33001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,13168460,6584230000,500
192,92790,NEXTEEL,32401,Manufacture of Basic Iron and Steel,26002000,13001000000,500
1746,92870,EXICON,32902,Manufacture of Special-Purpose Machinery,10848797,5424398500,500
74,93050,LF,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,29240000,146200000000,5000
1362,93190,Bixolon,32603,Manufacture of Computers and Peripheral Equipment,19238905,9619452500,500
560,93230,EID,74607,Other Specialized Wholesale,243757368,48751473600,200
811,93240,HYUNGJI ELITE,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,31154798,15577399000,500
2162,93320,KINX,106301,Data Processing Hosting and Related activities; Web Portals,4880000,2440000000,500
832,93370,FOOSUNG,32001,Manufacture of Basic Chemicals,94352104,47176052000,500
2349,93380,PUNGKANG,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,9879313,4939656500,500
2586,93510,NGVI,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),6020000,3010000000,500
1234,93520,MAKUS,74605,Wholesale of Machinery Equipment and Supplies,16163092,8081546000,500
2163,93640,KRM,32601,Manufacture of Semiconductor,29213382,14606691000,500
1421,93920,SWIT,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,18600000,9300000000,500
1136,94170,DONGWOON ANATECH,32601,Manufacture of Semiconductor,18952781,9672573500,500
827,94280,HYOSUNG ITX,147509,Other Business Support Services,11558200,5779100000,500
2135,94360,C&amp;M,32601,Manufacture of Semiconductor,9640315,4963657500,500
958,94480,GalaxiaMoneytree,105802,Software Development and Supply,39229838,19614919000,500
309,94800,MAPSREALTY1,116402,Trust and collective Investment Businesses,92834331,464171655000,0
2039,94820,ILJIN POWER,64203,Electrical and Communication Works,15078709,7539354500,500
1487,94840,Suprema HQ,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10471840,5235920000,500
2129,94850,Very Good Tour,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,14000000,7000000000,500
1023,94860,NEORIGIN,105802,Software Development and Supply,104459775,10445977500,100
2347,94940,PULOONTECH,32603,Manufacture of Computers and Peripheral Equipment,8361386,4180693000,500
2078,94970,JMT,32602,Manufacture of Electronic Components,16748240,8374120000,500
1993,95190,EMKOREA,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,42581037,21290518500,500
1893,95270,WAVEELECTRO,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,14971256,7485628000,500
886,95340,ISC,74605,Wholesale of Machinery Equipment and Supplies,17399471,8699735500,500
1272,95500,MNtech,32202,Manufacture of Plastic Products,31009999,15504999500,500
1,95570,AJ Networks,147603,Renting of Industrial Machinery and Equipment,46822295,46822295000,1000
2261,95610,TES,32902,Manufacture of Special-Purpose Machinery,19768226,9884113000,500
1026,95660,NEOWIZ,105802,Software Development and Supply,22033719,11016859500,500
2055,95700,Genexine,137001,Research and Experimental Development On Natural Sciences and Engineering,41510594,20755297000,500
531,95720,WOONGJIN THINKBIG,168501,Primary Education,115505985,58700796000,500
1669,95910,S-ENERGY,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,19504503,9752251500,500
2005,96040,E-TRON,74607,Other Specialized Wholesale,906131295,181226259000,200
2235,96240,Creverse,168505,General Private Educational Institute,11338180,5769502500,500
1099,96350,DSOL,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,163761009,16376100900,100
1559,96530,SEEGENE,32103,Manufacture of Medical Supplies and Related Other Medicaments,52225994,26112997000,500
1629,96610,RFsemi,32601,Manufacture of Semiconductor,15816151,7908075500,500
1682,96630,S Connect,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,72470970,14494194000,200
1698,96690,Aroot,32603,Manufacture of Computers and Peripheral Equipment,160983948,80491974000,500
56,96760,JW HOLDINGS,116409,Other Financial Intermediation,72508159,36254079500,500
124,96770,SK Innovation,31902,Manufacture of Refined Petroleum Products,100655564,509519950000,5000
1773,96870,LDT,32601,Manufacture of Semiconductor,6678400,3339200000,500
45,97230,HJSC,64102,Heavy Construction,83274281,416371405000,5000
508,97520,MCNEX,32605,Manufacture of Electronic Video and Audio Equipment,17977732,9118563000,500
1727,97780,Eco Volt,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),62730338,65784607000,1000
1914,97800,Winpac,32601,Manufacture of Semiconductor,59584496,29792248000,500
2491,97870,HYOSUNGONB,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,8490000,4245000000,500
11,97950,CJ CHEILJEDANG,31007,Manufacture of Other Food Products,15054186,81908095000,5000
1229,98120,MCS,32602,Manufacture of Electronic Components,8312766,4156383000,500
967,98460,KohYoung,32902,Manufacture of Special-Purpose Machinery,68654755,6865475500,100
1687,98660,STO,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,12500976,6250488000,500
1589,99190,i-SENS,32701,Manufacture of Medical Appliances and Instruments,27518273,13759136500,500
928,99220,SDN,74605,Wholesale of Machinery Equipment and Supplies,56171811,28085905500,500
1544,99320,SI,33103,Manufacture of Aircraft Spacecraft and its Parts,9085607,4542803500,500
1328,99390,Brainzcompany,105802,Software Development and Supply,8208283,4104141500,500
1127,99410,DBSM,33101,Building of Ships and Boats,13541002,6770501000,500
1300,99430,BioPlus,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,57930864,28965432000,500
1491,99440,SMEC,32902,Manufacture of Special-Purpose Machinery,39167600,19583800000,500
887,99520,ITX-AI,32605,Manufacture of Electronic Video and Audio Equipment,42349278,21174639000,500
2000,99750,ezCaretech,105802,Software Development and Supply,6834776,3417388000,500
2018,100030,Inzisoft,105802,Software Development and Supply,3283714,1641857000,500
123,100090,SK oceanplant,32401,Manufacture of Basic Iron and Steel,59195568,29597784000,500
1325,100120,Vieworks,32701,Manufacture of Medical Appliances and Instruments,10001865,5000932500,500
1123,100130,Dongkuk S&amp;C,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,57143000,28571500000,500
349,100220,VISANG,105801,Publishing of Books Magazines and Other Publications,12996741,6498370500,500
617,100250,CHINYANG HOLDINGS,32202,Manufacture of Plastic Products,55895292,27947646000,500
1236,100590,MERCURY,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,15124896,7562448000,500
1413,100660,SEOAM MACHINERY,32901,Manufacture of General Purpose Machinery,12600000,6300000000,500
1448,100700,SEWOONMEDICAL,32103,Manufacture of Medical Supplies and Related Other Medicaments,43800000,4380000000,100
1276,100790,Mirae Asset Venture,116409,Other Financial Intermediation,54167350,54667350000,1000
131,100840,SNTEnergy,32901,Manufacture of General Purpose Machinery,7506711,3753355500,500
1397,101000,SSII,32902,Manufacture of Special-Purpose Machinery,18779448,9389724000,500
568,101140,INBIOGEN,74605,Wholesale of Machinery Equipment and Supplies,200884334,100442167000,500
1890,101160,Worldex,32602,Manufacture of Electronic Components,16510993,8255496500,500
1869,101170,WOORIM PTS,32901,Manufacture of General Purpose Machinery,13500000,6750000000,500
1561,101240,CQV,32001,Manufacture of Basic Chemicals,10138184,5069092000,500
1260,101330,MOBASE,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,23147029,11979094000,500
1728,101360,Eco&amp;Dream,32004,Manufacture of Other Chemical Products,11415283,5707641500,500
1598,101390,IM,32602,Manufacture of Electronic Components,9053757,4526878500,500
1751,101400,N CITRON,32601,Manufacture of Semiconductor,59186224,29593112000,500
1668,101490,S&amp;S TECH,32602,Manufacture of Electronic Components,21451447,10725723500,500
787,101530,Haitai Confectionery,31007,Manufacture of Other Food Products,29116822,14558411000,500
2409,101670,Hydro Lithium,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,22333351,4466670200,200
2432,101680,HNK,32902,Manufacture of Special-Purpose Machinery,8404000,4202000000,500
1906,101730,Wemade Max,105802,Software Development and Supply,33295292,16647646000,500
2034,101930,Inhwa Precision,33101,Building of Ships and Boats,9331705,4665852500,500
1653,102120,ABOV,32601,Manufacture of Semiconductor,17780753,8890376500,500
258,102260,DONGSUNG CHEMICAL,137105,Activities of Head Offices Management Consultancy Activities,49689728,49689728000,1000
460,102280,SBW,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,262592129,131296064500,500
2172,102370,K Auction,74601,Wholesale on a Fee or Contract Basis,27174135,13587067500,500
562,102460,REYON PHARMACEUTICAL,32102,Manufacture of Medicaments,18586811,9293405500,500
1988,102710,ENF,32004,Manufacture of Other Chemical Products,14287836,7143918000,500
2210,102940,KLS,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,11412356,5706178000,500
2568,102950,AHA,32602,Manufacture of Electronic Components,13121903,6923823000,500
697,103140,POONGSAN,32402,Manufacture of Basic Precious and Non-ferrous Metals,28024278,140121390000,5000
1666,103230,S&amp;W Corp.,32901,Manufacture of General Purpose Machinery,7200000,3600000000,500
584,103590,ILJIN ELECTRIC,32803,Manufacture of Electric Lamps and Bulbs,37080390,37080390000,1000
2561,103660,CIAAT,32004,Manufacture of Other Chemical Products,6017471,3008735500,500
1871,103840,WOOYANG,31003,Processing and Preserving of Fruit and Vegetables,14258000,1425800000,100
1081,104040,Daesung Fine Tec,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),31301281,3130128100,100
917,104200,NHN BUGS,105802,Software Development and Supply,14827550,7413775000,500
1168,104460,DYPNF,32901,Manufacture of General Purpose Machinery,10713625,5356812500,500
2295,104480,TK CHEMICAL,32005,Manufacture of Man-Made Fibers,90895434,45447717000,500
2190,104540,Corentec,32701,Manufacture of Medical Appliances and Instruments,12757370,6378685000,500
1044,104620,YBTOUR,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,15842126,7921063000,500
727,104700,KISCO,32401,Manufacture of Basic Iron and Steel,42450000,46050000000,1000
1880,104830,WIMCO,32001,Manufacture of Basic Chemicals,12608000,6304000000,500
2165,105330,KNW,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),16060028,8030014000,500
2275,105550,TRUWIN,32602,Manufacture of Electronic Components,44355630,22177815000,500
57,105560,KBFinancialGroup,116409,Other Financial Intermediation,403511072,2090557685000,5000
747,105630,Hansae,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,40000000,20000000000,500
1175,105740,DK-Lok,32901,Manufacture of General Purpose Machinery,10156513,5078256500,500
527,105840,WOOJIN,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,20323614,10161807000,500
2414,106080,HYSONIC,32602,Manufacture of Electronic Components,14778536,14778536000,1000
2419,106190,HTP,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,7088782,3544391000,500
2317,106240,FINETECHNIX,32804,Manufacture of Electric Lamps and Bulbs,15923057,7961528500,500
1047,106520,Noble M&amp;B,32703,Manufacture of Photographic Equipment and Optical Instruments,36695952,36695952000,1000
330,107590,MWH,116409,Other Financial Intermediation,2320000,1315887000,500
1405,107600,Sebitchem,32004,Manufacture of Other Chemical Products,4861545,2721172500,500
2638,107640,HanJungNCS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),7118113,3559056500,500
2271,108230,TOPTEC,32902,Manufacture of Special-Purpose Machinery,38023245,19147956000,500
88,108320,LX Semicon,32601,Manufacture of Semiconductor,16264300,8132150000,500
1089,108380,DAEYANG,33101,Building of Ships and Boats,9567333,4783666500,500
1206,108490,ROBOTIS,32902,Manufacture of Special-Purpose Machinery,12766717,6383358500,500
90,108670,LX HAUSYS,32202,Manufacture of Plastic Products,8967670,50000000000,5000
1463,108860,SELVAS AI,105802,Software Development and Supply,26914790,13457395000,500
630,109070,CONBUZZ,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,36810230,18405115000,500
1837,109080,OPTICIS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,5636000,2818000000,500
1679,109610,SY,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,48907400,24453700000,500
1160,109740,DSK,32902,Manufacture of Special-Purpose Machinery,27024910,13512455000,500
2121,109820,GENEMATRIX,137001,Research and Experimental Development On Natural Sciences and Engineering,20393640,10196820000,500
1138,109860,DONGIL METAL,32403,Cast of Metals,9100000,4550000000,500
1721,109960,Aprogen H&amp;G,74607,Other Specialized Wholesale,66000082,33000041000,500
2050,110020,JJBIO,32004,Manufacture of Other Chemical Products,7455802,3727901000,500
2237,110790,Creas F&amp;C,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,11715480,11715480000,1000
1154,110990,DIT,32902,Manufacture of Special-Purpose Machinery,18900000,1890000000,100
813,111110,Hojeon,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,9749984,5532872000,500
1020,111710,Namhwa Industrial,189101,Sports Services,20588000,4117600000,200
510,111770,Youngone Corp,74608,Wholesale of Non-Specialized Goods,44311468,22155734000,500
903,111870,KH ELECTRON,32605,Manufacture of Electronic Video and Audio Equipment,10663988,5331994000,500
1905,112040,Wemade,105802,Software Development and Supply,33796962,17178481000,500
2514,112190,KC INDUSTRY,32303,Manufacture of Cement Lime and Plaster and Its Products,7125253,3562626500,500
1843,112290,YCCHEM,32004,Manufacture of Other Chemical Products,10110545,10262465000,1000
465,112610,CSWIND,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,42171403,21085701500,500
1170,113810,Dgenx,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),32628051,16314025500,500
29,114090,GKL,189102,Amusement and theme Park Operation,61855670,30927835000,500
2236,114120,CrucialTec,32602,Manufacture of Electronic Components,2296131,2296131000,1000
957,114190,KANGWON ENERGY,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,26123038,13061519000,500
989,114450,GREEN LIFESCIENCE,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,20000000,10000000000,500
2344,114630,POLARIS UNO,32005,Manufacture of Man-Made Fibers,63719922,31959961000,500
2449,114810,Hansol IONES,32902,Manufacture of Special-Purpose Machinery,29352174,14676087000,500
1613,114840,IFAMILYSC,32004,Manufacture of Other Chemical Products,8600972,4300486000,500
2529,114920,Daejoo Ent,32401,Manufacture of Basic Iron and Steel,3469500,1734750000,500
2498,115160,HUMAX,32605,Manufacture of Electronic Video and Audio Equipment,43970124,21985062000,500
2228,115180,Qurient,137001,Research and Experimental Development On Natural Sciences and Engineering,12418697,6209348500,500
2031,115310,INFOvine,106102,Telecommunications,3192883,1596441500,500
291,115390,L&amp;L,32202,Manufacture of Plastic Products,50200444,27500000000,500
1861,115440,WooriNet,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10754239,5377119500,500
877,115450,HLB Therapeutics,74607,Other Specialized Wholesale,73307196,36653598000,500
1555,115480,CU MEDICAL,32701,Manufacture of Medical Appliances and Instruments,48224558,24112279000,500
2159,115500,KCS,106201,Computer programming System Integration and Management Services,12000000,6000000000,500
1554,115530,CNPLUS,32602,Manufacture of Electronic Components,67963000,6796300000,100
1495,115570,STARFLEX,32202,Manufacture of Plastic Products,7984508,3992254000,500
1979,115610,IMAGIS,32601,Manufacture of Semiconductor,15541626,7770813000,500
1796,115960,YONWOO,32202,Manufacture of Plastic Products,12398000,6199000000,500
2624,116100,SUN-MC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),6239986,3119993000,500
215,117580,DAESUNGENERGY,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,27500000,27500000000,1000
1636,117670,Alpha Holdings,32601,Manufacture of Semiconductor,37677724,19146576500,500
2279,117730,T-ROBOTICS,32902,Manufacture of Special-Purpose Machinery,16495856,8247928000,500
485,118000,SMEDI,74605,Wholesale of Machinery Equipment and Supplies,122849436,61424718000,500
1268,118990,MOTREX,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),24495500,12269961500,500
2334,119500,FORMETAL,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,11847232,6012340000,500
2023,119610,INTEROJO,32701,Manufacture of Medical Appliances and Instruments,13216478,6608239000,500
60,119650,KC COTTRELL,32901,Manufacture of General Purpose Machinery,50935430,25467715000,500
1608,119830,ITEK,137309,Other Professional Scientific and Technical Services n.e.c.,21434297,10717148500,500
2113,119850,GNCENERGY,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,16448909,8374454500,500
2144,119860,Connectwave,105802,Software Development and Supply,46747183,23373591500,500
604,120030,CHOSUN WELDING,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,1257651,628825500,500
654,120110,KOLON IND,32005,Manufacture of Man-Made Fibers,27519091,151434755000,5000
1096,120240,DAEJUNG C&amp;M,32001,Manufacture of Basic Chemicals,7190391,3595195500,500
2591,121060,UNIPOINT,106201,Computer programming System Integration and Management Services,5981670,2990835000,500
971,121440,GOLFZON NEWDIN HOLDINGS,74601,Wholesale on a Fee or Contract Basis,42836818,21418409000,500
1004,121600,ANP,32004,Manufacture of Other Chemical Products,12159878,6079939000,500
1338,121800,Vidente,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,77201611,38600805500,500
2215,121850,KOYJ,32202,Manufacture of Plastic Products,30614175,15307087500,500
1660,121890,SDSYSTEM,32602,Manufacture of Electronic Components,12686120,6343060000,500
2057,122310,GENORAY,32701,Manufacture of Medical Appliances and Instruments,14553844,7276922000,500
1368,122350,SAMKEE,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),38339428,3833942800,100
906,122450,KX,106002,Television Broadcasting,45335964,22768238500,500
1804,122640,YEST,32902,Manufacture of Special-Purpose Machinery,19044342,9522171000,500
1424,122690,SAC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),21228131,10614065500,500
2589,122830,ONE4U,106102,Telecommunications,32751985,3275198500,100
1855,122870,YG Entertainment,105902,Audio Publishing and Original Master Recordings,18677949,9338974500,500
476,122900,IMARKETKOREA,74608,Wholesale of Non-Specialized Goods,33428840,18166670000,500
1842,122990,WiSoL,32602,Manufacture of Electronic Components,28186941,14093470500,500
1601,123010,iWIN PLUS,32602,Manufacture of Electronic Components,32658542,16329271000,500
1789,123040,MS AUTOTECH CO. LTD,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),45658277,22829138500,500
2061,123330,Genic,32004,Manufacture of Other Chemical Products,7000000,3500000000,500
2193,123410,KFTC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),27841064,2784106400,100
1907,123420,Wemade Play,105802,Software Development and Supply,11469842,5734921000,500
1991,123570,EMNET,137103,Advertising,22276078,11138039000,500
736,123690,HANKOOK COSMETICS,74604,Wholesale of Household Goods,16068000,8034000000,500
489,123700,SJM,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),15604898,7802449000,500
1634,123750,Alton Sports,33109,Manufacture of Other Transport Equipment,12746297,6373148500,500
2458,123840,HANIL VACUUM,32902,Manufacture of Special-Purpose Machinery,101396624,10139662400,100
1566,123860,ANAPASS,32601,Manufacture of Semiconductor,11784256,5915335500,500
720,123890,KAIT,116402,Trust and collective Investment Businesses,123977752,61988876000,500
1610,124500,ITCEN,106201,Computer programming System Integration and Management Services,20511727,10255863500,500
2257,124560,Taewoong Logistics,85209,Other Services Allied to Transport Agency,38416584,3841658400,100
1569,125210,AMOGREENTECH,32602,Manufacture of Electronic Components,16496790,8248395000,500
1337,126340,VINATECH,32802,Manufacture of Primary Cells and Batteries and Accumulators,5803397,2901698500,500
808,126560,Hyundai Futurenet,106102,Telecommunications,110202945,55101472500,500
843,126600,BGF Ecomaterials,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,54033275,27016637500,500
2488,126640,HWASHIN PRECISION,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),36373887,3637388700,100
2413,126700,HyVISION,32703,Manufacture of Photographic Equipment and Optical Instruments,14942112,7471056000,500
434,126720,Soosan Industries,64202,Building Installation,14286000,2857200000,200
2075,126880,JNK Heaters,32901,Manufacture of General Purpose Machinery,23204903,11602451500,500
1163,127120,DNALINK,137001,Research and Experimental Development On Natural Sciences and Engineering,17093692,8546846000,500
1582,127710,ASIA BUSINESS DAILY,106301,Data Processing Hosting and Related activities; Web Portals,34904082,17452041000,500
2489,127980,Finecircuit,32602,Manufacture of Electronic Components,11840684,1184068400,100
1729,128540,ECOCAB,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),26690460,2669046000,100
2382,128660,PJ METAL,32402,Manufacture of Basic Precious and Non-ferrous Metals,24803369,12401684500,500
214,128820,DAESUNGIND,74707,Retail Sale of Fuel,45235478,226177390000,5000
743,128940,HanmiPharm,32102,Manufacture of Medicaments,12562158,31405395000,2500
572,129260,INTERGIS,84903,Road Freight Transport,29747874,14873937000,500
1649,129890,ABKO,32603,Manufacture of Computers and Peripheral Equipment,10128682,5064341000,500
1082,129920,Daesung Hi-Tech,32902,Manufacture of Special-Purpose Machinery,13715053,1616945300,100
866,130500,GH Advanced Materials,31309,Manufacture of Other Made-Up Textile Articles Except Apparel,14545052,7272526000,500
1017,130580,NICE D&amp;B,147509,Other Business Support Services,15400000,7700000000,500
769,130660,KEPID,137201,Architectural Engineering and Related Technical Services,32600000,16300000000,500
2297,130740,TPC Global,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),11276679,5638339500,500
1835,131030,OPTUS,32102,Manufacture of Medicaments,16153162,8282398500,500
1510,131090,SECUVE,105802,Software Development and Supply,44000000,4400000000,100
2290,131100,TN entertainment,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,28048252,14024126000,500
1180,131180,DILLI,32603,Manufacture of Computers and Peripheral Equipment,29350000,2935000000,100
1101,131220,DAIHAN Scientific,74605,Wholesale of Machinery Equipment and Supplies,7454490,3727245000,500
2288,131290,TSE,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,11061429,5530714500,500
1627,131370,RSUPPORT,105802,Software Development and Supply,53267083,5326708300,100
1981,131400,EV.A.M.,32602,Manufacture of Electronic Components,59194179,29597089500,500
2318,131760,FINETEK,32902,Manufacture of Special-Purpose Machinery,43431583,21845701000,500
1143,131970,DOOSAN TESNA,137309,Other Professional Scientific and Technical Services n.e.c.,14759577,7379788500,500
1240,133750,MegaMD,168505,General Private Educational Institute,23407077,11703538500,500
821,133820,FINEBESTEEL,32401,Manufacture of Basic Iron and Steel,29918118,16234059000,500
2006,134060,e-future,105801,Publishing of Books Magazines and Other Publications,4769250,2384625000,500
331,134380,MIWON CHEMICALS,32004,Manufacture of Other Chemical Products,2199268,2404080000,1000
2252,134580,Topco Media,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,22025767,11012883500,500
437,134790,Sidiz,33201,Manufacture of Furniture,2000000,1000000000,500
1578,136410,ASSEMS,32202,Manufacture of Plastic Products,11019106,5671183000,500
2407,136480,HARIM,31001,Slaughtering of Livestock Processing Preserving of Meat and Meat Products,106209702,53104851000,500
410,136490,SUNJIN,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,23779604,11889802000,500
1490,136510,Smart Solutions,32902,Manufacture of Special-Purpose Machinery,47492857,23746428500,500
1912,136540,Wins,106201,Computer programming System Integration and Management Services,13864162,6932081000,500
2616,136660,QMC,32902,Manufacture of Special-Purpose Machinery,9443800,4721900000,500
1011,137080,NARAE NANOTECH CORP.,32902,Manufacture of Special-Purpose Machinery,11059422,6435671000,500
484,137310,SD BIOSENSOR,32701,Manufacture of Medical Appliances and Instruments,124477353,62239087500,500
2380,137400,P&amp;T,32902,Manufacture of Special-Purpose Machinery,22741198,11370599000,500
1039,137940,NextEye,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,78320992,8047839200,100
2070,137950,JC Chemical,32004,Manufacture of Other Chemical Products,22267814,11133907000,500
310,138040,MERITZ FINANCIAL,116409,Other Financial Intermediation,208217858,113093927000,500
1525,138070,SINJIN SM,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,17503204,8751602000,500
1823,138080,OE Solutions,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10624095,5312047500,500
2483,138360,Hyupjin,32902,Manufacture of Special-Purpose Machinery,34611984,17305992000,500
655,138490,KOLON PLASTICS,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,38000000,38000000000,1000
1352,138580,BusinessOn,105802,Software Development and Supply,22556163,11278081500,500
1016,138610,NIBEC,32103,Manufacture of Medical Supplies and Related Other Medicaments,9957479,4978739500,500
1774,138690,LIS,32902,Manufacture of Special-Purpose Machinery,67080306,33540153000,500
5,138930,BNK Financial Group,116409,Other Financial Intermediation,322088438,1629676230000,5000
1512,139050,CTLS,106201,Computer programming System Integration and Management Services,7862472,3931236000,500
17,139130,DGB Financial Group,116409,Other Financial Intermediation,169145833,845729165000,5000
555,139480,emart,74701,Retail Sale in Non-Specialized Stores,27875819,139379095000,5000
2244,139670,KineMaster,105802,Software Development and Supply,13981411,6990705500,500
479,139990,AJUSTEEL,32401,Manufacture of Basic Iron and Steel,26452189,13226094500,500
1425,140070,SurplusGLOBAL,74605,Wholesale of Machinery Equipment and Supplies,36988000,3698800000,100
1250,140410,Mezzion Pharma,137001,Research and Experimental Development On Natural Sciences and Engineering,29587389,14793694500,500
1100,140520,DaeChang Steel,32401,Manufacture of Basic Iron and Steel,21109243,10554621500,500
2583,140610,Ensol Biosciences,137001,Research and Experimental Development On Natural Sciences and Engineering,10827814,5413907000,500
2590,140660,WIWORLD,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,2487252,1243626000,500
1628,140670,RS AUTOMATION,32602,Manufacture of Electronic Components,9303140,4651570000,500
2320,140860,Park Systems,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,6963959,3481979500,500
494,140910,A REIT,126801,Real Estate Activities with Own or Leased Property,4463032,22315160000,5000
1345,141000,Viatron,32902,Manufacture of Special-Purpose Machinery,12114710,6057355000,500
1159,141020,DSNL,74709,Retail Sale not in Stores,11700533,5850266500,500
